random_var_0,random_var_1,random_var_2,random_var_3,random_var_4,random_var_5,random_var_6,random_var_7,random_var_8,random_var_9,random_var_10,random_var_11,random_var_12,random_var_13,random_var_14,random_var_15,random_var_16,random_var_17,random_var_18,random_var_19,cat_3,cat_5,cat_20,cat_200,num_2%,num_20%,num_90%,num_99%,weight_variable,sample variable,target,amount
-2.1204689,1.8281751,-1.2188327,2.2003484,1.0230353,0.10385761,0.0027354674,1.8626274,0.14722653,-1.2530231,-0.311479,-0.1925864,-1.707226,1.917344,-0.5449,0.15183873,0.8611622,0.30331925,1.6377729,-1.4089249,2,nan,10.0,190,10.417022,76.5497,,,0.2879251,training,0,0.0
-0.0691434,-2.8491523,-1.9263992,0.17998734,1.7472696,-1.8282179,0.92588294,-1.1253072,-1.3176217,0.61670285,-1.0439179,-2.1628988,-0.9213244,-1.4486402,1.2418997,-5.155156,-10.394122,1.0703784,0.434384,-1.028799,1,nan,17.0,50,10.7203245,30.817276,,,0.6626819,training,1,11201.72044278935
-0.5114732,1.1122411,0.6388012,2.8601122,0.60187805,1.1146072,-2.2503684,-2.491429,4.289313,2.473633,-3.6095352,2.144912,-0.86376333,-0.009340135,0.669498,-0.35278258,4.5726323,0.75491685,1.6543041,-1.6191983,1,nan,18.0,99,10.000114,73.53779,,,0.12157114,training,0,0.0
-0.019528305,-1.0433667,-0.6502178,3.5637484,-1.0113227,-4.322013,-1.377731,-0.14682207,-3.6663392,0.4932477,-0.9285991,-3.0447903,0.27444,-2.3497536,1.2379109,3.2907505,-4.7302256,0.49801433,0.05222044,-2.2193556,2,nan,18.0,68,10.302333,,,,0.41812494,training,0,0.0
0.88557374,-0.94343007,-0.35908398,-1.2667093,-1.4396554,4.028367,0.31265256,0.078573465,3.3232436,1.1200387,-0.40998578,-1.0267924,1.4379585,2.3647819,-0.27521756,-0.27762908,4.2120767,-0.63733435,1.0667262,4.0815177,2,nan,2.0,141,10.146756,23.669432,,,0.7650042,training,0,0.0
0.24148178,-2.2791984,0.10652283,1.4767755,1.3743504,1.8967783,1.5429397,-2.4741952,-0.38685092,2.841056,-1.4168074,0.19856435,0.64859587,-0.85398114,-0.2094262,-2.2988994,-7.2665095,-0.14658001,0.7420637,-2.2664626,1,nan,nan,186,10.092339,6.282373,,,0.024045387,validation,1,8301.39847271514
-0.0022547264,-1.0180463,0.8460648,2.6269546,0.11621156,-5.0982833,-0.567213,4.356247,-0.6668732,0.18339318,-0.7792064,-1.8042732,1.4453819,0.6733153,-1.018473,0.12883468,-2.6246042,-2.7130313,0.24896258,1.7631495,1,nan,1.0,188,10.18626,62.204407,,,0.3296649,training,1,9717.18779870678
-1.2186376,0.48399884,-0.0762061,-0.07162242,-0.50923455,-0.5421437,-3.330122,-2.581565,2.3062525,1.7379335,-3.7641895,2.6506226,-0.9721187,-2.0659559,1.0570759,-0.78154117,4.831278,0.26969102,-0.6221451,-0.97611773,2,nan,2.0,124,10.345561,94.393776,,,0.7768281,validation,1,11495.442469261885
1.0072011,-1.4258125,-1.0053729,2.0937,-0.17366275,-2.4158666,-0.28010792,-0.44216067,-1.761495,1.6807345,-0.37153226,-1.9945574,0.70492536,-0.643984,0.85895556,1.9067372,-3.2370756,-2.5877726,-0.8527011,-1.1675465,1,nan,1.0,29,10.396768,34.766094,,,0.10063685,validation,0,0.0
1.2191857,1.673673,-0.4866369,0.500617,1.3840629,-2.8636153,-1.4771427,0.29026544,1.775555,-2.6606686,1.8355429,-4.423332,-0.5946858,1.0697578,0.15384714,2.5429351,6.135171,-0.94146967,0.14942071,2.373309,2,nan,12.0,173,10.538816,43.362625,,,0.55512273,training,1,8677.758595519046
